metric,difference_shared_minus_joint,ci_low,ci_high,bootstrap_samples
auprc,0.07477511544973398,-0.0023932847991148943,0.13967474046985864,2000
auroc,0.0058712121212121104,-0.025951704545454594,0.03768939393939397,2000
recall,0.15000000000000002,0.01666666666666672,0.2833333333333333,2000
specificity,-0.03409090909090906,-0.05681818181818199,-0.00909090909090926,2000
balanced_accuracy,0.05795454545454548,-0.006448863636363555,0.1223484848484847,2000
brier,0.0002641819839768189,-0.007042666704863991,0.007787368577722346,2000
calibration_error,0.019597758224000006,-0.0009203742675499462,0.03378119905479996,2000
