metric,difference_shared_minus_joint,ci_low,ci_high,bootstrap_samples
auprc,0.02972323534993604,-0.034631901561735554,0.09942189973202108,2000
auroc,0.016098484848484973,-0.012310606060606077,0.044322916666666635,2000
recall,-0.01666666666666683,-0.1166666666666667,0.08333333333333337,2000
specificity,-0.03409090909090917,-0.06363636363636371,-0.00454545454545463,2000
balanced_accuracy,-0.025378787878788,-0.07575757575757569,0.028030303030303072,2000
brier,-0.006160777325172062,-0.013250734842708936,0.0007351811067036711,2000
calibration_error,0.004596855602000016,-0.01649200545657505,0.019910848156350008,2000
