patients,hfref_patients,threshold,auprc,auroc,recall,specificity,balanced_accuracy,precision,f1,brier,log_loss,calibration_error,tn,fp,fn,tp,architecture,seed,train_folds,tuning_fold,scoring_fold,train_patients,tuning_patients,scoring_patients,best_epoch,epochs_run,best_tuning_auroc,tuning_auprc,tuning_auroc,tuning_f1,parameter_count,training_seconds,checkpoint_bytes,device,batch_size,focal_alpha,focal_gamma,learning_rate,weight_decay,max_epochs,patience,site_order,training_crop,tuning_and_scoring_input
100,12,0.6023589670658112,0.5017135642135643,0.8863636363636362,0.3333333333333333,0.9318181818181818,0.6325757575757576,0.4,0.36363636363636365,0.09087423267992008,0.3007260580837665,0.10898733269423247,82,6,8,4,joint_4ch,42,"[2, 3, 4]",1,0,300,100,100,14,24,0.8560606060606061,0.6951184232434233,0.8560606060606061,0.6666666666666666,522433,30.465112600002612,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",fixed_15s,full_30s
100,12,0.4362199157476425,0.368771645021645,0.853219696969697,0.6666666666666666,0.8863636363636364,0.7765151515151515,0.4444444444444444,0.5333333333333333,0.10004050315226994,0.3244806363262133,0.10165092904120684,78,10,4,8,joint_4ch,42,"[2, 3, 4]",1,0,300,100,100,11,21,0.8977272727272727,0.6337398125913144,0.8977272727272727,0.6923076923076923,522433,29.12326800000301,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",full,
100,12,0.6350184977054596,0.457626306155718,0.8863636363636362,0.6666666666666666,0.875,0.7708333333333333,0.42105263157894735,0.5161290322580645,0.19329104552071286,0.5749421070331445,0.3309971497952938,77,11,4,8,joint_4ch,42,"[2, 3, 4]",1,0,300,100,100,6,16,0.9015151515151514,0.6273198009438382,0.9015151515151514,0.64,522433,19.889068899996346,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",random_15s,full_30s
100,12,0.6021167933940887,0.7061734836836258,0.8986742424242424,0.5,0.9431818181818182,0.7215909090909092,0.5454545454545454,0.5217391304347826,0.11844047201829394,0.39301111444013004,0.21094816591590643,83,5,6,6,joint_4ch,42,"[0, 3, 4]",2,1,300,100,100,5,15,0.8475378787878788,0.42045891661552587,0.8475378787878788,0.5217391304347826,522433,19.068617500000983,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",fixed_15s,full_30s
100,12,0.2639257237315178,0.6264411733161733,0.8446969696969696,0.75,0.8295454545454546,0.7897727272727273,0.375,0.5,0.09628914382062449,0.3127039606514976,0.09238626806996764,73,15,3,9,joint_4ch,42,"[0, 3, 4]",2,1,300,100,100,15,25,0.8626893939393939,0.5029413012425183,0.8626893939393939,0.5294117647058824,522433,36.891037399997,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",full,
100,12,0.4849062114953995,0.5697752951755415,0.90625,0.75,0.8636363636363636,0.8068181818181819,0.42857142857142855,0.5454545454545454,0.10441826384483627,0.3477961382858157,0.16413286194205284,76,12,3,9,joint_4ch,42,"[0, 3, 4]",2,1,300,100,100,14,24,0.8712121212121212,0.5757078575752101,0.8712121212121212,0.5714285714285714,522433,30.80674100000033,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",random_15s,full_30s
100,12,0.5016625076532364,0.38623304533630626,0.8285984848484849,0.5,0.9090909090909091,0.7045454545454546,0.42857142857142855,0.46153846153846156,0.11849995292487843,0.39514507656937425,0.1708169580250978,80,8,6,6,joint_4ch,42,"[0, 1, 4]",3,2,300,100,100,4,14,0.8920454545454546,0.5049844947513712,0.8920454545454546,0.6111111111111112,522433,18.947528999997303,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",fixed_15s,full_30s
100,12,0.5683015882968903,0.4868579367059655,0.824810606060606,0.3333333333333333,0.9659090909090909,0.6496212121212122,0.5714285714285714,0.42105263157894735,0.11914409316578062,0.4073419908412986,0.2035777333378792,85,3,8,4,joint_4ch,42,"[0, 1, 4]",3,2,300,100,100,5,15,0.9318181818181819,0.5840286987916298,0.9318181818181819,0.6428571428571429,522433,23.248801599998842,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",full,
100,12,0.44043152034282684,0.4174364926243123,0.8134469696969697,0.5,0.8522727272727273,0.6761363636363636,0.3157894736842105,0.3870967741935484,0.12544020372771178,0.4187498264548111,0.19164302166551347,75,13,6,6,joint_4ch,42,"[0, 1, 4]",3,2,300,100,100,6,16,0.9318181818181819,0.5988309892721658,0.9318181818181819,0.6666666666666666,522433,21.082011099999363,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",random_15s,full_30s
100,12,0.6725029945373535,0.5969489250191005,0.8636363636363635,0.6666666666666666,0.8863636363636364,0.7765151515151515,0.4444444444444444,0.5333333333333333,0.2228407854708475,0.6337128265899292,0.36028706803917887,78,10,4,8,joint_4ch,42,"[0, 1, 2]",4,3,300,100,100,3,13,0.9545454545454546,0.7585400710400712,0.9545454545454546,0.72,522433,18.021445800004585,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",fixed_15s,full_30s
100,12,0.5088221430778503,0.5804349415204679,0.9166666666666666,0.9166666666666666,0.8068181818181818,0.8617424242424242,0.39285714285714285,0.55,0.18338607283036532,0.5547650671855697,0.32382098898291595,71,17,1,11,joint_4ch,42,"[0, 1, 2]",4,3,300,100,100,5,15,0.9441287878787878,0.7009424603174603,0.9441287878787878,0.6666666666666666,522433,23.51177430000098,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",full,
100,12,0.41375651955604553,0.40014390154192786,0.8873106060606061,0.6666666666666666,0.875,0.7708333333333333,0.42105263157894735,0.5161290322580645,0.10354166221906994,0.3550419535806108,0.1487433721125126,77,11,4,8,joint_4ch,42,"[0, 1, 2]",4,3,300,100,100,14,24,0.96875,0.8247603091353092,0.96875,0.7857142857142857,522433,31.949145200000203,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",random_15s,full_30s
100,12,0.6849929094314575,0.5740977175845596,0.9100378787878788,0.25,0.9659090909090909,0.6079545454545454,0.5,0.3333333333333333,0.08902182311810891,0.2938482793454863,0.12288019794505088,85,3,9,3,joint_4ch,42,"[1, 2, 3]",0,4,300,100,100,15,25,0.9053030303030304,0.5609938672438672,0.9053030303030304,0.6363636363636364,522433,31.177833399997326,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",fixed_15s,full_30s
100,12,0.5877350270748138,0.5553769841269841,0.9242424242424243,0.6666666666666666,0.9090909090909091,0.7878787878787878,0.5,0.5714285714285714,0.14889439491101242,0.48002966264994784,0.2758829054236412,80,8,4,8,joint_4ch,42,"[1, 2, 3]",0,4,300,100,100,4,14,0.9109848484848485,0.5080517153097799,0.9109848484848485,0.5925925925925926,522433,22.198264499995275,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",full,
100,12,0.7038621306419373,0.5364173635006968,0.9109848484848485,0.5,0.9204545454545454,0.7102272727272727,0.46153846153846156,0.48,0.14366647805428936,0.4532427762086546,0.25216196276247504,81,7,6,6,joint_4ch,42,"[1, 2, 3]",0,4,300,100,100,15,25,0.9119318181818181,0.4909100762361632,0.9119318181818181,0.5714285714285714,522433,29.932420199998887,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']",random_15s,full_30s
