metric,difference_shared_minus_joint,ci_low,ci_high,bootstrap_samples
auprc,0.08055985657566733,-0.01351991387907652,0.15377627162559096,2000
auroc,0.024810606060606255,-0.00833806818181815,0.06420454545454535,2000
recall,0.033333333333333326,-0.050000000000000044,0.1166666666666667,2000
specificity,-0.020454545454545392,-0.04318181818181821,0.002272727272727315,2000
balanced_accuracy,0.006439393939393967,-0.03825757575757571,0.05265151515151523,2000
brier,-0.000924166271939475,-0.010840075056222365,0.009415245808138949,2000
calibration_error,0.02620546754700001,0.005501829751975044,0.042844167430225,2000
