training_crop,auprc_mean,auprc_std,auroc_mean,auroc_std,recall_mean,recall_std,specificity_mean,specificity_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,brier_mean,brier_std,calibration_error_mean,calibration_error_std,training_seconds_mean,training_seconds_std
fixed_15s,0.5530333471674312,0.11861729206222539,0.8774621212121211,0.03228458444508078,0.45,0.16244657241348273,0.9272727272727274,0.03070285474115069,0.6886363636363637,0.06839979885884324,0.4427161244552549,0.09086885874291946,0.1279354532424098,0.05494090029092851,0.1947839445238933,0.1009432882388463,23.53610766000056,6.667685123465388
full,0.5235765361382472,0.10017246402396605,0.8727272727272727,0.04485178792351233,0.6666666666666666,0.21245914639969934,0.8795454545454545,0.0635754578668153,0.7731060606060606,0.07683187150148411,0.5151629072681704,0.05872876238252299,0.12955084157601054,0.03659885996777119,0.19946376497112217,0.10290100842850528,26.994629159999022,6.15704099792821
random_15s,0.4762798717996393,0.07410313227425083,0.8808712121212121,0.039270137999777625,0.6166666666666666,0.11180339887498945,0.8772727272727273,0.025913077843162234,0.746969696969697,0.05265015258755775,0.4889618768328446,0.06149053717418405,0.13407153067332406,0.03703006501574499,0.21753567365556953,0.07471137286701833,26.731877279999026,5.762223708034868
