metric,difference_shared_minus_joint,ci_low,ci_high,bootstrap_samples
auprc,0.08691099685071957,0.010135374183371163,0.15704180138409551,2000
auroc,0.04034090909090904,0.013257575757575796,0.072159090909091,2000
recall,-0.09999999999999998,-0.20000000000000007,0.0,2000
specificity,0.03409090909090895,0.009034090909090756,0.0613636363636364,2000
balanced_accuracy,-0.03295454545454546,-0.0852272727272726,0.019318181818181793,2000
brier,-0.007539887304497672,-0.015599032016428593,-0.00018693834339956686,2000
calibration_error,-0.007339485627200021,-0.026043620855464997,0.01034269380737999,2000
