patients,hfref_patients,threshold,auprc,auroc,recall,specificity,balanced_accuracy,precision,f1,brier,log_loss,calibration_error,tn,fp,fn,tp,architecture,seed,train_folds,tuning_fold,scoring_fold,train_patients,tuning_patients,scoring_patients,best_epoch,epochs_run,best_tuning_auroc,tuning_auprc,tuning_auroc,tuning_f1,parameter_count,training_seconds,checkpoint_bytes,device,batch_size,focal_alpha,focal_gamma,learning_rate,weight_decay,max_epochs,patience,site_order
100,12,0.4362199157476425,0.368771645021645,0.853219696969697,0.6666666666666666,0.8863636363636364,0.7765151515151515,0.4444444444444444,0.5333333333333333,0.10004050315226994,0.3244806363262133,0.10165092904120684,78,10,4,8,joint_4ch,42,"[2, 3, 4]",1,0,300,100,100,11,21,0.8977272727272727,0.6337398125913144,0.8977272727272727,0.6923076923076923,522433,29.12326800000301,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.48956693708896637,0.5412332826367914,0.8854166666666666,0.75,0.8295454545454546,0.7897727272727273,0.375,0.5,0.14416609616108192,0.4588893914148362,0.25023557983338834,73,15,3,9,shared_site,42,"[2, 3, 4]",1,0,300,100,100,4,14,0.8910984848484849,0.6368742178238747,0.8910984848484849,0.6285714285714286,521377,47.654842100004316,2121890,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.2639257237315178,0.6264411733161733,0.8446969696969696,0.75,0.8295454545454546,0.7897727272727273,0.375,0.5,0.09628914382062449,0.3127039606514976,0.09238626806996764,73,15,3,9,joint_4ch,42,"[0, 3, 4]",2,1,300,100,100,15,25,0.8626893939393939,0.5029413012425183,0.8626893939393939,0.5294117647058824,522433,36.891037399997,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.311684712767601,0.6647272345969873,0.8607954545454545,0.6666666666666666,0.8068181818181818,0.7367424242424242,0.32,0.43243243243243246,0.08844525330537475,0.3120181057373338,0.1313821481447667,71,17,4,8,shared_site,42,"[0, 3, 4]",2,1,300,100,100,6,16,0.9195075757575757,0.5721783047870004,0.9195075757575757,0.6285714285714286,521377,56.351029800003744,2121890,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.5683015882968903,0.4868579367059655,0.824810606060606,0.3333333333333333,0.9659090909090909,0.6496212121212122,0.5714285714285714,0.42105263157894735,0.11914409316578062,0.4073419908412986,0.2035777333378792,85,3,8,4,joint_4ch,42,"[0, 1, 4]",3,2,300,100,100,5,15,0.9318181818181819,0.5840286987916298,0.9318181818181819,0.6428571428571429,522433,23.248801599998842,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.5846099853515625,0.602688652598073,0.9081439393939393,0.4166666666666667,0.9545454545454546,0.6856060606060607,0.5555555555555556,0.47619047619047616,0.10967886430155793,0.3748633544535759,0.1835765159130097,84,4,7,5,shared_site,42,"[0, 1, 4]",3,2,300,100,100,5,15,0.9109848484848485,0.6114157628863511,0.9109848484848485,0.6666666666666666,521377,53.00546900000336,2121890,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.5088221430778503,0.5804349415204679,0.9166666666666666,0.9166666666666666,0.8068181818181818,0.8617424242424242,0.39285714285714285,0.55,0.18338607283036532,0.5547650671855697,0.32382098898291595,71,17,1,11,joint_4ch,42,"[0, 1, 2]",4,3,300,100,100,5,15,0.9441287878787878,0.7009424603174603,0.9441287878787878,0.6666666666666666,522433,23.51177430000098,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.4807473123073578,0.6024655091704364,0.9109848484848485,0.9166666666666666,0.8181818181818182,0.8674242424242424,0.4074074074074074,0.5641025641025641,0.14190069485175955,0.44939419744753617,0.25568137526512147,72,16,1,11,shared_site,42,"[0, 1, 2]",4,3,300,100,100,10,20,0.9659090909090908,0.7739202439860337,0.9659090909090908,0.7741935483870968,521377,71.00212420000025,2121890,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.5877350270748138,0.5553769841269841,0.9242424242424243,0.6666666666666666,0.9090909090909091,0.7878787878787878,0.5,0.5714285714285714,0.14889439491101242,0.48002966264994784,0.2758829054236412,80,8,4,8,joint_4ch,42,"[1, 2, 3]",0,4,300,100,100,4,14,0.9109848484848485,0.5080517153097799,0.9109848484848485,0.5925925925925926,522433,22.198264499995275,2124322,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
100,12,0.5758567452430725,0.6095672845672846,0.9223484848484849,0.75,0.8863636363636364,0.8181818181818181,0.47368421052631576,0.5806451612903226,0.1589424662270882,0.4968418060829641,0.3074705402553081,78,10,3,9,shared_site,42,"[1, 2, 3]",0,4,300,100,100,9,19,0.9384469696969697,0.6624979552611132,0.9384469696969697,0.6470588235294118,521377,68.3179300999982,2121890,cuda,16,0.88,2.0,0.001,0.0001,50,10,"['APEX', 'LLSB', 'LUSB', 'RUSB']"
