feature_group,auprc_mean,auprc_std,auroc_mean,auroc_std,recall_mean,recall_std,specificity_mean,specificity_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,brier_mean,brier_std,calibration_error_mean,calibration_error_std
heart_rate_and_quality,0.4043503393490062,0.10455248113206579,0.7282196969696969,0.09368541163546111,0.4,0.13693063937629155,0.8954545454545455,0.02463577657804405,0.6477272727272727,0.07272579307206921,0.3676410256410257,0.11877420165851957,0.18649281013861987,0.016125036549149305,0.26252794743890306,0.019611829044927354
heart_rate_only,0.20639008566945555,0.027411419773202057,0.6403409090909091,0.06197914858091732,0.4833333333333334,0.14907119849998599,0.7318181818181818,0.060451982173956316,0.6075757575757577,0.06622562011345988,0.2784175661140166,0.0699694520262285,0.23629044990793374,0.01709340543532069,0.3522658837780938,0.027364456448258204
quality_only,0.38290625512669135,0.14596383525535955,0.6956439393939393,0.11959706165619294,0.4666666666666666,0.2173067468400883,0.8931818181818182,0.05244536708733786,0.6799242424242424,0.10701176580694431,0.40882175011565425,0.16027593573204588,0.19501296959686534,0.019854706576868063,0.2813099772044914,0.03522390967469677
