seed,architecture,patient_group,measure,patients,spearman_rho,p_value_descriptive_only
2026,joint_4ch,all,mean_estimated_heart_rate_bpm,500,0.059658478633914526,0.1829089009007354
2026,joint_4ch,all,mean_baseline_drift_rms_ratio,500,-0.07992742370969483,0.07416146847623814
2026,joint_4ch,all,mean_high_frequency_rms_ratio,500,-0.1857634310537242,2.91720010462155e-05
2026,joint_4ch,all,mean_full_scale_sample_fraction,500,0.08284861952283532,0.06415544341753063
2026,joint_4ch,all,mean_longest_constant_run_s,500,-0.14841668762999702,0.0008720675395344779
2026,joint_4ch,all,failed_site_count,500,0.006010733495296851,0.8933480912928233
2026,joint_4ch,all,quality_flag_site_count,500,0.083795969830464,0.06115969048454014
2026,shared_site,non-HFrEF,mean_estimated_heart_rate_bpm,440,-0.08619761841369392,0.07086894441090039
2026,shared_site,non-HFrEF,mean_baseline_drift_rms_ratio,440,-0.02065370360196263,0.6657054833811513
2026,shared_site,non-HFrEF,mean_high_frequency_rms_ratio,440,-0.19472757419389375,3.914767524970437e-05
2026,shared_site,non-HFrEF,mean_full_scale_sample_fraction,440,0.003967414469326438,0.9338636407993753
2026,shared_site,non-HFrEF,mean_longest_constant_run_s,440,-0.10710788723217422,0.024653470314333837
2026,shared_site,non-HFrEF,failed_site_count,440,0.02979236895676151,0.5330935234704508
2026,shared_site,non-HFrEF,quality_flag_site_count,440,0.004310721976987585,0.9281555665424739
2026,shared_site,HFrEF,mean_estimated_heart_rate_bpm,60,0.21183662128368996,0.10419215912923833
2026,shared_site,HFrEF,mean_baseline_drift_rms_ratio,60,0.048513475965546,0.7128019181486727
2026,shared_site,HFrEF,mean_high_frequency_rms_ratio,60,-0.06429563767713255,0.6255067971860908
2026,shared_site,HFrEF,mean_full_scale_sample_fraction,60,0.28392443719448174,0.027915957794877322
2026,shared_site,HFrEF,mean_longest_constant_run_s,60,-0.3189627361866762,0.012993173616103536
2026,shared_site,HFrEF,failed_site_count,60,-0.10900381453058955,0.4070745274953961
2026,shared_site,HFrEF,quality_flag_site_count,60,0.27730294228772406,0.03194833571216673
2026,shared_site,all,mean_estimated_heart_rate_bpm,500,-0.023920991683966733,0.5935994631650789
2026,shared_site,all,mean_baseline_drift_rms_ratio,500,-0.08197760791043164,0.06701538610780032
2026,shared_site,all,mean_high_frequency_rms_ratio,500,-0.22609847239388958,3.2323068240547134e-07
2026,shared_site,all,mean_full_scale_sample_fraction,500,0.1220965791141016,0.006265307881067461
2026,shared_site,all,mean_longest_constant_run_s,500,-0.17572607340480276,7.805324073003071e-05
2026,shared_site,all,failed_site_count,500,0.0401014607820551,0.3708878234146412
2026,shared_site,all,quality_flag_site_count,500,0.12264547978538388,0.006033673343329815
