seed,cutoff_rule,architecture,scoring_recall_mean,scoring_recall_std,scoring_specificity_mean,scoring_specificity_std,scoring_precision_mean,scoring_precision_std,scoring_f1_mean,scoring_f1_std,scoring_balanced_accuracy_mean,scoring_balanced_accuracy_std,scoring_auprc_mean,scoring_auprc_std,scoring_auroc_mean,scoring_auroc_std,scoring_brier_mean,scoring_brier_std,tuning_specificity_mean,tuning_specificity_std,tuning_recall_mean,tuning_recall_std
42,maximum_tuning_f1,joint_4ch,0.7,0.1728036779443977,0.8863636363636364,0.06275773305220035,0.5103826113114038,0.1947239618884121,0.5565608917072704,0.05867146608793274,0.7931818181818182,0.06095131300794189,0.5338734455976152,0.11731288205271333,0.8759469696969697,0.04936973635506468,0.11915043630871995,0.04083613363787241,0.915909090909091,0.04861193099138056,0.8,0.19184774055368897
42,maximum_tuning_f1,shared_site,0.6,0.29697549468675766,0.9204545454545455,0.06377825091091946,0.6035281385281385,0.22717009123425605,0.5225983258800596,0.10293663058053454,0.7602272727272728,0.11710764994589126,0.6207844424483346,0.1040052692702202,0.9162878787878788,0.011933321213654145,0.11161054900422226,0.03665590854920475,0.9386363636363637,0.04726507805246688,0.7,0.191847740553689
42,target_90pct_tuning_specificity,joint_4ch,0.6333333333333333,0.2251542681017716,0.890909090909091,0.05244536708733782,0.46054658385093167,0.07538886752810552,0.5091611912664544,0.07608174778172543,0.7621212121212121,0.08950341588712536,0.5338734455976152,0.11731288205271333,0.8759469696969697,0.04936973635506468,0.11915043630871995,0.04083613363787241,0.909090909090909,0.0,0.6833333333333333,0.10865337342004416
42,target_90pct_tuning_specificity,shared_site,0.7166666666666667,0.2327373340628157,0.9022727272727273,0.044449107308199905,0.5099816849816851,0.06147854062035601,0.5764343434343434,0.09950940519505297,0.8094696969696971,0.09693010851453289,0.6207844424483346,0.1040052692702202,0.9162878787878788,0.011933321213654145,0.11161054900422226,0.03665590854920475,0.909090909090909,0.0,0.7,0.1263812574008592
2026,maximum_tuning_f1,joint_4ch,0.5333333333333333,0.15138251770487457,0.9181818181818182,0.02941404342169268,0.47523616734143054,0.053828859188575814,0.49284485407066053,0.08007910210535883,0.7257575757575758,0.06494030687716432,0.4824079347291949,0.06711164136895967,0.8797348484848484,0.03513372435433551,0.12625741053575873,0.03691716482896129,0.9227272727272726,0.03049183605681535,0.6666666666666667,0.13176156917368245
2026,maximum_tuning_f1,shared_site,0.6833333333333333,0.24579802006254375,0.884090909090909,0.06398040118299657,0.46499676793794437,0.058341585018836066,0.5281343012704174,0.07254374350253275,0.7837121212121212,0.09260375946589658,0.5571830501789288,0.0859189993299844,0.8856060606060605,0.03259419624393088,0.12652159251973555,0.023121246835756035,0.9022727272727273,0.030702854741150632,0.8333333333333334,0.05892556509887896
2026,target_90pct_tuning_specificity,joint_4ch,0.5333333333333333,0.1728036779443977,0.8977272727272727,0.028971701781777225,0.41198830409356724,0.0526736957867092,0.4565591397849462,0.10263990055556689,0.7155303030303031,0.07603405986708477,0.4824079347291949,0.06711164136895967,0.8797348484848484,0.03513372435433551,0.12625741053575873,0.03691716482896129,0.909090909090909,0.0,0.6333333333333334,0.1263812574008592
2026,target_90pct_tuning_specificity,shared_site,0.6333333333333333,0.2251542681017716,0.8931818181818182,0.05056498968474311,0.45386243386243386,0.05946251988640412,0.5131572131572131,0.0901084383701283,0.7632575757575758,0.09081039465709738,0.5571830501789288,0.0859189993299844,0.8856060606060605,0.03259419624393088,0.12652159251973555,0.023121246835756035,0.909090909090909,0.0,0.7666666666666667,0.06972166887783965
