source,seed,scoring_fold,tuning_fold,architecture,cutoff_rule,cutoff,tuning_specificity,tuning_recall,scoring_patients,scoring_hfref_patients,scoring_threshold,scoring_auprc,scoring_auroc,scoring_recall,scoring_specificity,scoring_balanced_accuracy,scoring_precision,scoring_f1,scoring_brier,scoring_log_loss,scoring_calibration_error,scoring_tn,scoring_fp,scoring_fn,scoring_tp
corrected,42,0,1,joint_4ch,maximum_tuning_f1,0.6154539,0.9431818181818182,0.75,100,12,0.6154539,0.3743795709058325,0.8645833333333333,0.6666666666666666,0.875,0.7708333333333333,0.42105263157894735,0.5161290322580645,0.17607689463970577,0.5367274567613927,0.29929765919999995,77,11,4,8
corrected,42,0,1,joint_4ch,target_90pct_tuning_specificity,0.573679975,0.9090909090909091,0.75,100,12,0.573679975,0.3743795709058325,0.8645833333333333,0.75,0.8409090909090909,0.7954545454545454,0.391304347826087,0.5142857142857142,0.17607689463970577,0.5367274567613927,0.29929765919999995,74,14,3,9
corrected,42,0,1,shared_site,maximum_tuning_f1,0.78148445,1.0,0.4166666666666667,100,12,0.78148445,0.5313177585849155,0.9109848484848485,0.3333333333333333,0.9659090909090909,0.6496212121212122,0.5714285714285714,0.42105263157894735,0.15585916264567337,0.4812568879845295,0.27116882794999997,85,3,8,4
corrected,42,0,1,shared_site,target_90pct_tuning_specificity,0.65116152,0.9090909090909091,0.5,100,12,0.65116152,0.5313177585849155,0.9109848484848485,0.8333333333333334,0.875,0.8541666666666667,0.47619047619047616,0.6060606060606061,0.15585916264567337,0.4812568879845295,0.27116882794999997,77,11,2,10
corrected,42,1,2,joint_4ch,maximum_tuning_f1,0.6370662199999999,0.9886363636363636,0.5,100,12,0.6370662199999999,0.6516570927888065,0.8589015151515151,0.5,0.9886363636363636,0.7443181818181819,0.8571428571428571,0.631578947368421,0.08153983193661958,0.2709227266854593,0.062253252383,87,1,6,6
corrected,42,1,2,joint_4ch,target_90pct_tuning_specificity,0.332942785,0.9090909090909091,0.5833333333333334,100,12,0.332942785,0.6516570927888065,0.8589015151515151,0.5,0.8977272727272727,0.6988636363636364,0.4,0.4444444444444444,0.08153983193661958,0.2709227266854593,0.062253252383,79,9,6,6
corrected,42,1,2,shared_site,maximum_tuning_f1,0.10663215449999999,0.8977272727272727,0.8333333333333334,100,12,0.10663215449999999,0.7592739637576594,0.9204545454545454,0.8333333333333334,0.8636363636363636,0.8484848484848485,0.45454545454545453,0.5882352941176471,0.06488020438501738,0.21679384606210847,0.059092987296999994,76,12,2,10
corrected,42,1,2,shared_site,target_90pct_tuning_specificity,0.1211859,0.9090909090909091,0.75,100,12,0.1211859,0.7592739637576594,0.9204545454545454,0.8333333333333334,0.8863636363636364,0.8598484848484849,0.5,0.625,0.06488020438501738,0.21679384606210847,0.059092987296999994,78,10,2,10
corrected,42,2,3,joint_4ch,maximum_tuning_f1,0.41020772,0.8863636363636364,0.9166666666666666,100,12,0.41020772,0.4760681410441712,0.8077651515151515,0.5833333333333334,0.8863636363636364,0.7348484848484849,0.4117647058823529,0.4827586206896552,0.10911062787512966,0.3795864064768684,0.16438734500000002,78,10,5,7
corrected,42,2,3,joint_4ch,target_90pct_tuning_specificity,0.49350360000000004,0.9090909090909091,0.5833333333333334,100,12,0.49350360000000004,0.4760681410441712,0.8077651515151515,0.3333333333333333,0.9659090909090909,0.6496212121212122,0.5714285714285714,0.42105263157894735,0.10911062787512966,0.3795864064768684,0.16438734500000002,85,3,8,4
corrected,42,2,3,shared_site,maximum_tuning_f1,0.7309793149999999,0.9772727272727273,0.5833333333333334,100,12,0.7309793149999999,0.6124255575342533,0.9147727272727273,0.25,1.0,0.625,1.0,0.4,0.11417698287697384,0.3862841340004307,0.19705361385,88,0,9,3
corrected,42,2,3,shared_site,target_90pct_tuning_specificity,0.6412164149999999,0.9090909090909091,0.75,100,12,0.6412164149999999,0.6124255575342533,0.9147727272727273,0.3333333333333333,0.9545454545454546,0.6439393939393939,0.5,0.4,0.11417698287697384,0.3862841340004307,0.19705361385,84,4,8,4
corrected,42,3,4,joint_4ch,maximum_tuning_f1,0.45442142500000005,0.8863636363636364,1.0,100,12,0.45442142500000005,0.6446428571428572,0.9214015151515151,0.9166666666666666,0.8181818181818182,0.8674242424242424,0.4074074074074074,0.5641025641025641,0.14510129844679825,0.4701624516410559,0.2730327848,72,16,1,11
corrected,42,3,4,joint_4ch,target_90pct_tuning_specificity,0.490682305,0.9090909090909091,0.8333333333333334,100,12,0.490682305,0.6446428571428572,0.9214015151515151,0.9166666666666666,0.8409090909090909,0.8787878787878788,0.44,0.5945945945945946,0.14510129844679825,0.4701624516410559,0.2730327848,74,14,1,11
corrected,42,3,4,shared_site,maximum_tuning_f1,0.5352572250000001,0.9204545454545454,0.8333333333333334,100,12,0.5352572250000001,0.5133086206306021,0.9015151515151514,0.9166666666666666,0.8522727272727273,0.884469696969697,0.4583333333333333,0.6111111111111112,0.13633074426275876,0.43448370490227317,0.23214197296999997,75,13,1,11
corrected,42,3,4,shared_site,target_90pct_tuning_specificity,0.523381675,0.9090909090909091,0.8333333333333334,100,12,0.523381675,0.5133086206306021,0.9015151515151514,0.9166666666666666,0.8522727272727273,0.884469696969697,0.4583333333333333,0.6111111111111112,0.13633074426275876,0.43448370490227317,0.23214197296999997,75,13,1,11
corrected,42,4,0,joint_4ch,maximum_tuning_f1,0.37147975,0.875,0.8333333333333334,100,12,0.37147975,0.5226195661064081,0.9270833333333334,0.8333333333333334,0.8636363636363636,0.8484848484848485,0.45454545454545453,0.5882352941176471,0.08392352864534645,0.29628123915821525,0.13311790343,76,12,2,10
corrected,42,4,0,joint_4ch,target_90pct_tuning_specificity,0.46705025,0.9090909090909091,0.6666666666666666,100,12,0.46705025,0.5226195661064081,0.9270833333333334,0.6666666666666666,0.9090909090909091,0.7878787878787878,0.5,0.5714285714285714,0.08392352864534645,0.29628123915821525,0.13311790343,80,8,4,8
corrected,42,4,0,shared_site,maximum_tuning_f1,0.46074550000000003,0.8977272727272727,0.8333333333333334,100,12,0.46074550000000003,0.6875963117342428,0.9337121212121213,0.6666666666666666,0.9204545454545454,0.793560606060606,0.5333333333333333,0.5925925925925926,0.08680565085068802,0.3055394095697581,0.13593411461,81,7,4,8
corrected,42,4,0,shared_site,target_90pct_tuning_specificity,0.520517035,0.9090909090909091,0.6666666666666666,100,12,0.520517035,0.6875963117342428,0.9337121212121213,0.6666666666666666,0.9431818181818182,0.8049242424242424,0.6153846153846154,0.64,0.08680565085068802,0.3055394095697581,0.13593411461,83,5,4,8
corrected,2026,0,1,joint_4ch,maximum_tuning_f1,0.6445944699999999,0.9659090909090909,0.5,100,12,0.6445944699999999,0.3840772812755572,0.8806818181818181,0.4166666666666667,0.9204545454545454,0.6685606060606061,0.4166666666666667,0.4166666666666667,0.1116284655487736,0.3556744787560232,0.15644947275,81,7,7,5
corrected,2026,0,1,joint_4ch,target_90pct_tuning_specificity,0.538034165,0.9090909090909091,0.5,100,12,0.538034165,0.3840772812755572,0.8806818181818181,0.5833333333333334,0.875,0.7291666666666667,0.3888888888888889,0.4666666666666667,0.1116284655487736,0.3556744787560232,0.15644947275,77,11,5,7
corrected,2026,0,1,shared_site,maximum_tuning_f1,0.37005739000000004,0.8636363636363636,0.9166666666666666,100,12,0.37005739000000004,0.4589545870795871,0.8901515151515151,0.9166666666666666,0.8068181818181818,0.8617424242424242,0.39285714285714285,0.55,0.11270817725970633,0.387627940495187,0.19013112761,71,17,1,11
corrected,2026,0,1,shared_site,target_90pct_tuning_specificity,0.42044219000000005,0.9090909090909091,0.75,100,12,0.42044219000000005,0.4589545870795871,0.8901515151515151,0.75,0.8636363636363636,0.8068181818181819,0.42857142857142855,0.5454545454545454,0.11270817725970633,0.387627940495187,0.19013112761,76,12,3,9
corrected,2026,1,2,joint_4ch,maximum_tuning_f1,0.45779419,0.9431818181818182,0.5833333333333334,100,12,0.45779419,0.5644502689712305,0.8532196969696969,0.3333333333333333,0.9545454545454546,0.6439393939393939,0.5,0.4,0.08905959877727072,0.31448496245438956,0.10892168437,84,4,8,4
