Seed,Cutoff_Rule,Architecture,Fold,Quality_Measure,Quality_Group,patients,hfref_patients,non_hfref_patients,recall,specificity,tp,fn,tn,fp
42,target_90pct_tuning_specificity,shared_site,1,mean_high_frequency_rms_ratio,high,37,6,31,0.6666666666666666,0.9032258064516129,4,2,28,3
42,target_90pct_tuning_specificity,shared_site,1,mean_high_frequency_rms_ratio,low,27,5,22,1.0,0.8636363636363636,5,0,19,3
42,target_90pct_tuning_specificity,shared_site,1,mean_high_frequency_rms_ratio,middle,36,1,35,1.0,0.8857142857142857,1,0,31,4
42,target_90pct_tuning_specificity,shared_site,2,beat_detection_check,all_sites_passed,98,11,87,0.36363636363636365,0.9540229885057471,4,7,83,4
42,target_90pct_tuning_specificity,shared_site,2,beat_detection_check,one_or_more_failed,2,1,1,0.0,1.0,0,1,1,0
42,target_90pct_tuning_specificity,shared_site,2,mean_baseline_drift_rms_ratio,high,30,5,25,0.4,0.96,2,3,24,1
42,target_90pct_tuning_specificity,shared_site,2,mean_baseline_drift_rms_ratio,low,35,4,31,0.5,0.9354838709677419,2,2,29,2
42,target_90pct_tuning_specificity,shared_site,2,mean_baseline_drift_rms_ratio,middle,35,3,32,0.0,0.96875,0,3,31,1
42,target_90pct_tuning_specificity,shared_site,2,mean_high_frequency_rms_ratio,high,40,3,37,0.3333333333333333,0.9459459459459459,1,2,35,2
42,target_90pct_tuning_specificity,shared_site,2,mean_high_frequency_rms_ratio,low,30,8,22,0.25,0.9090909090909091,2,6,20,2
42,target_90pct_tuning_specificity,shared_site,2,mean_high_frequency_rms_ratio,middle,30,1,29,1.0,1.0,1,0,29,0
42,target_90pct_tuning_specificity,shared_site,3,beat_detection_check,all_sites_passed,100,12,88,0.9166666666666666,0.8522727272727273,11,1,75,13
42,target_90pct_tuning_specificity,shared_site,3,mean_baseline_drift_rms_ratio,high,32,3,29,0.6666666666666666,0.9310344827586207,2,1,27,2
42,target_90pct_tuning_specificity,shared_site,3,mean_baseline_drift_rms_ratio,low,32,3,29,1.0,0.8275862068965517,3,0,24,5
42,target_90pct_tuning_specificity,shared_site,3,mean_baseline_drift_rms_ratio,middle,36,6,30,1.0,0.8,6,0,24,6
42,target_90pct_tuning_specificity,shared_site,3,mean_high_frequency_rms_ratio,high,26,3,23,0.6666666666666666,0.9130434782608695,2,1,21,2
42,target_90pct_tuning_specificity,shared_site,3,mean_high_frequency_rms_ratio,low,44,9,35,1.0,0.7142857142857143,9,0,25,10
42,target_90pct_tuning_specificity,shared_site,3,mean_high_frequency_rms_ratio,middle,30,0,30,,0.9666666666666667,0,0,29,1
42,target_90pct_tuning_specificity,shared_site,4,beat_detection_check,all_sites_passed,99,12,87,0.6666666666666666,0.9425287356321839,8,4,82,5
42,target_90pct_tuning_specificity,shared_site,4,beat_detection_check,one_or_more_failed,1,0,1,,1.0,0,0,1,0
42,target_90pct_tuning_specificity,shared_site,4,mean_baseline_drift_rms_ratio,high,39,2,37,0.5,0.9459459459459459,1,1,35,2
42,target_90pct_tuning_specificity,shared_site,4,mean_baseline_drift_rms_ratio,low,33,7,26,0.5714285714285714,0.9615384615384616,4,3,25,1
42,target_90pct_tuning_specificity,shared_site,4,mean_baseline_drift_rms_ratio,middle,28,3,25,1.0,0.92,3,0,23,2
42,target_90pct_tuning_specificity,shared_site,4,mean_high_frequency_rms_ratio,high,32,4,28,0.5,0.9642857142857143,2,2,27,1
42,target_90pct_tuning_specificity,shared_site,4,mean_high_frequency_rms_ratio,low,30,7,23,0.7142857142857143,0.9130434782608695,5,2,21,2
42,target_90pct_tuning_specificity,shared_site,4,mean_high_frequency_rms_ratio,middle,38,1,37,1.0,0.9459459459459459,1,0,35,2
2026,maximum_tuning_f1,joint_4ch,0,beat_detection_check,all_sites_passed,100,12,88,0.4166666666666667,0.9204545454545454,5,7,81,7
2026,maximum_tuning_f1,joint_4ch,0,mean_baseline_drift_rms_ratio,high,37,2,35,0.5,0.9714285714285714,1,1,34,1
2026,maximum_tuning_f1,joint_4ch,0,mean_baseline_drift_rms_ratio,low,35,7,28,0.2857142857142857,0.8928571428571429,2,5,25,3
2026,maximum_tuning_f1,joint_4ch,0,mean_baseline_drift_rms_ratio,middle,28,3,25,0.6666666666666666,0.88,2,1,22,3
2026,maximum_tuning_f1,joint_4ch,0,mean_high_frequency_rms_ratio,high,33,2,31,0.5,0.9032258064516129,1,1,28,3
2026,maximum_tuning_f1,joint_4ch,0,mean_high_frequency_rms_ratio,low,37,6,31,0.5,0.8709677419354839,3,3,27,4
2026,maximum_tuning_f1,joint_4ch,0,mean_high_frequency_rms_ratio,middle,30,4,26,0.25,1.0,1,3,26,0
2026,maximum_tuning_f1,joint_4ch,1,beat_detection_check,all_sites_passed,100,12,88,0.3333333333333333,0.9545454545454546,4,8,84,4
2026,maximum_tuning_f1,joint_4ch,1,mean_baseline_drift_rms_ratio,high,29,1,28,0.0,0.9285714285714286,0,1,26,2
2026,maximum_tuning_f1,joint_4ch,1,mean_baseline_drift_rms_ratio,low,32,7,25,0.2857142857142857,0.96,2,5,24,1
2026,maximum_tuning_f1,joint_4ch,1,mean_baseline_drift_rms_ratio,middle,39,4,35,0.5,0.9714285714285714,2,2,34,1
2026,maximum_tuning_f1,joint_4ch,1,mean_high_frequency_rms_ratio,high,37,6,31,0.5,0.967741935483871,3,3,30,1
2026,maximum_tuning_f1,joint_4ch,1,mean_high_frequency_rms_ratio,low,27,5,22,0.2,0.9090909090909091,1,4,20,2
2026,maximum_tuning_f1,joint_4ch,1,mean_high_frequency_rms_ratio,middle,36,1,35,0.0,0.9714285714285714,0,1,34,1
2026,maximum_tuning_f1,joint_4ch,2,beat_detection_check,all_sites_passed,98,11,87,0.5454545454545454,0.9310344827586207,6,5,81,6
2026,maximum_tuning_f1,joint_4ch,2,beat_detection_check,one_or_more_failed,2,1,1,1.0,1.0,1,0,1,0
2026,maximum_tuning_f1,joint_4ch,2,mean_baseline_drift_rms_ratio,high,30,5,25,0.4,0.92,2,3,23,2
2026,maximum_tuning_f1,joint_4ch,2,mean_baseline_drift_rms_ratio,low,35,4,31,1.0,0.9354838709677419,4,0,29,2
2026,maximum_tuning_f1,joint_4ch,2,mean_baseline_drift_rms_ratio,middle,35,3,32,0.3333333333333333,0.9375,1,2,30,2
2026,maximum_tuning_f1,joint_4ch,2,mean_high_frequency_rms_ratio,high,40,3,37,0.6666666666666666,0.9459459459459459,2,1,35,2
2026,maximum_tuning_f1,joint_4ch,2,mean_high_frequency_rms_ratio,low,30,8,22,0.5,0.8636363636363636,4,4,19,3
2026,maximum_tuning_f1,joint_4ch,2,mean_high_frequency_rms_ratio,middle,30,1,29,1.0,0.9655172413793104,1,0,28,1
2026,maximum_tuning_f1,joint_4ch,3,beat_detection_check,all_sites_passed,100,12,88,0.6666666666666666,0.875,8,4,77,11
2026,maximum_tuning_f1,joint_4ch,3,mean_baseline_drift_rms_ratio,high,32,3,29,0.3333333333333333,0.9655172413793104,1,2,28,1
2026,maximum_tuning_f1,joint_4ch,3,mean_baseline_drift_rms_ratio,low,32,3,29,0.6666666666666666,0.8275862068965517,2,1,24,5
2026,maximum_tuning_f1,joint_4ch,3,mean_baseline_drift_rms_ratio,middle,36,6,30,0.8333333333333334,0.8333333333333334,5,1,25,5
2026,maximum_tuning_f1,joint_4ch,3,mean_high_frequency_rms_ratio,high,26,3,23,0.6666666666666666,0.9565217391304348,2,1,22,1
2026,maximum_tuning_f1,joint_4ch,3,mean_high_frequency_rms_ratio,low,44,9,35,0.6666666666666666,0.7428571428571429,6,3,26,9
2026,maximum_tuning_f1,joint_4ch,3,mean_high_frequency_rms_ratio,middle,30,0,30,,0.9666666666666667,0,0,29,1
2026,maximum_tuning_f1,joint_4ch,4,beat_detection_check,all_sites_passed,99,12,87,0.6666666666666666,0.9080459770114943,8,4,79,8
2026,maximum_tuning_f1,joint_4ch,4,beat_detection_check,one_or_more_failed,1,0,1,,1.0,0,0,1,0
2026,maximum_tuning_f1,joint_4ch,4,mean_baseline_drift_rms_ratio,high,39,2,37,0.5,0.918918918918919,1,1,34,3
2026,maximum_tuning_f1,joint_4ch,4,mean_baseline_drift_rms_ratio,low,33,7,26,0.5714285714285714,0.8846153846153846,4,3,23,3
2026,maximum_tuning_f1,joint_4ch,4,mean_baseline_drift_rms_ratio,middle,28,3,25,1.0,0.92,3,0,23,2
2026,maximum_tuning_f1,joint_4ch,4,mean_high_frequency_rms_ratio,high,32,4,28,0.75,0.9285714285714286,3,1,26,2
2026,maximum_tuning_f1,joint_4ch,4,mean_high_frequency_rms_ratio,low,30,7,23,0.7142857142857143,0.8695652173913043,5,2,20,3
2026,maximum_tuning_f1,joint_4ch,4,mean_high_frequency_rms_ratio,middle,38,1,37,0.0,0.918918918918919,0,1,34,3
2026,maximum_tuning_f1,shared_site,0,beat_detection_check,all_sites_passed,100,12,88,0.9166666666666666,0.8068181818181818,11,1,71,17
2026,maximum_tuning_f1,shared_site,0,mean_baseline_drift_rms_ratio,high,37,2,35,0.5,0.8571428571428571,1,1,30,5
2026,maximum_tuning_f1,shared_site,0,mean_baseline_drift_rms_ratio,low,35,7,28,1.0,0.7857142857142857,7,0,22,6
2026,maximum_tuning_f1,shared_site,0,mean_baseline_drift_rms_ratio,middle,28,3,25,1.0,0.76,3,0,19,6
2026,maximum_tuning_f1,shared_site,0,mean_high_frequency_rms_ratio,high,33,2,31,1.0,0.8064516129032258,2,0,25,6
2026,maximum_tuning_f1,shared_site,0,mean_high_frequency_rms_ratio,low,37,6,31,1.0,0.7096774193548387,6,0,22,9
2026,maximum_tuning_f1,shared_site,0,mean_high_frequency_rms_ratio,middle,30,4,26,0.75,0.9230769230769231,3,1,24,2
2026,maximum_tuning_f1,shared_site,1,beat_detection_check,all_sites_passed,100,12,88,0.6666666666666666,0.8977272727272727,8,4,79,9
2026,maximum_tuning_f1,shared_site,1,mean_baseline_drift_rms_ratio,high,29,1,28,1.0,0.8214285714285714,1,0,23,5
2026,maximum_tuning_f1,shared_site,1,mean_baseline_drift_rms_ratio,low,32,7,25,0.5714285714285714,0.88,4,3,22,3
2026,maximum_tuning_f1,shared_site,1,mean_baseline_drift_rms_ratio,middle,39,4,35,0.75,0.9714285714285714,3,1,34,1
