model,patients,auroc,auprc,best_epoch,epochs_run,max_abs_difference_from_saved_predictions,result_type,threshold,recall,specificity,balanced_accuracy,precision,f1,brier,log_loss,calibration_error,tn,fp,fn,tp,training_seconds,hfref_patients
original,100,0.956439393939394,0.7686080022854072,23,33,,saved_checkpoint_replay,,,,,,,,,,,,,,,
new_fold0,100,0.9109848484848484,0.4739108692233693,13,23,9.714451465470121e-17,saved_checkpoint_replay,,,,,,,,,,,,,,,
original_notebook_loss,100,0.956439393939394,0.7686080022854072,23,33,,controlled_new_run,0.4982108771800995,0.9166666666666666,0.9090909090909091,0.9128787878787878,0.5789473684210527,0.7096774193548387,0.06274087085537271,0.20110621628585817,0.06174339530756697,80.0,8.0,1.0,11.0,67.36147680000067,12.0
shared_src_loss,100,0.9109848484848485,0.4739108692233693,13,23,,controlled_new_run,0.5257003903388977,0.75,0.9204545454545454,0.8352272727272727,0.5625,0.6428571428571429,0.09001937337338589,0.3000948495804147,0.15064014622941613,81.0,7.0,3.0,9.0,42.24610600000051,12.0
