seed,cutoff_rule,metric,difference_shared_minus_joint,ci_low,ci_high,bootstrap_samples
42,maximum_tuning_f1,auprc,0.08055985657566733,-0.019643777260811617,0.15993441934671868,2000
42,maximum_tuning_f1,auroc,0.024810606060606255,-0.008910984848484859,0.06420928030303029,2000
42,maximum_tuning_f1,recall,0.033333333333333326,-0.050000000000000044,0.11666666666666681,2000
42,maximum_tuning_f1,specificity,-0.020454545454545392,-0.04318181818181832,0.002272727272727315,2000
42,maximum_tuning_f1,balanced_accuracy,0.006439393939393967,-0.03977272727272718,0.051515151515151514,2000
42,maximum_tuning_f1,brier,-0.000924166271939475,-0.01055547756008282,0.008778625364072031,2000
42,maximum_tuning_f1,calibration_error,0.02620546754700001,0.0058958662851249805,0.04192198922782497,2000
42,target_90pct_tuning_specificity,auprc,0.08055985657566733,-0.012960509659112116,0.15851900914176195,2000
42,target_90pct_tuning_specificity,auroc,0.024810606060606255,-0.010795454545454497,0.06307291666666646,2000
42,target_90pct_tuning_specificity,recall,0.01666666666666683,-0.08333333333333337,0.1166666666666667,2000
42,target_90pct_tuning_specificity,specificity,0.013636363636363669,-0.011363636363636243,0.03863636363636358,2000
42,target_90pct_tuning_specificity,balanced_accuracy,0.015151515151515138,-0.035984848484848286,0.06781250000000001,2000
42,target_90pct_tuning_specificity,brier,-0.000924166271939475,-0.010487875674490445,0.008366785669155283,2000
42,target_90pct_tuning_specificity,calibration_error,0.02620546754700001,0.006041513540775008,0.044286813544849986,2000
2026,maximum_tuning_f1,auprc,0.02972323534993604,-0.0402978724858232,0.10399029680190662,2000
2026,maximum_tuning_f1,auroc,0.016098484848484973,-0.012315340909090923,0.04583333333333328,2000
2026,maximum_tuning_f1,recall,-0.01666666666666683,-0.1166666666666667,0.08333333333333348,2000
2026,maximum_tuning_f1,specificity,-0.03409090909090917,-0.06363636363636371,-0.006818181818181832,2000
2026,maximum_tuning_f1,balanced_accuracy,-0.025378787878788,-0.07727272727272727,0.028049242424242466,2000
2026,maximum_tuning_f1,brier,-0.006160777325172062,-0.01309078023286506,0.0008253721601096025,2000
2026,maximum_tuning_f1,calibration_error,0.004596855602000016,-0.015107388364874954,0.01987876133607501,2000
2026,target_90pct_tuning_specificity,auprc,0.02972323534993604,-0.03596706582452583,0.10356233805518594,2000
2026,target_90pct_tuning_specificity,auroc,0.016098484848484973,-0.0107954545454545,0.04432765151515145,2000
2026,target_90pct_tuning_specificity,recall,0.06666666666666665,-0.050000000000000044,0.18333333333333335,2000
2026,target_90pct_tuning_specificity,specificity,-0.002272727272727204,-0.025056818181818413,0.022727272727272707,2000
2026,target_90pct_tuning_specificity,balanced_accuracy,0.032196969696969724,-0.026893939393939362,0.09129734848484845,2000
2026,target_90pct_tuning_specificity,brier,-0.006160777325172062,-0.012966060955986423,0.0005760533582381192,2000
2026,target_90pct_tuning_specificity,calibration_error,0.004596855602000016,-0.016913792161049962,0.01918824539780001,2000
