Seed,Cutoff_Rule,Architecture,Quality_Measure,Quality_Group,patients,hfref_patients,non_hfref_patients,recall,specificity,tp,fn,tn,fp
2026,maximum_tuning_f1,shared_site,mean_high_frequency_rms_ratio,high,168,18,150,0.7222222222222222,0.8866666666666667,13,5,133,17
2026,maximum_tuning_f1,shared_site,mean_high_frequency_rms_ratio,low,168,35,133,0.8285714285714286,0.7443609022556391,29,6,99,34
2026,maximum_tuning_f1,shared_site,mean_high_frequency_rms_ratio,middle,164,7,157,0.5714285714285714,0.9044585987261147,4,3,142,15
2026,target_90pct_tuning_specificity,joint_4ch,beat_detection_check,all_sites_passed,497,59,438,0.6440677966101694,0.8949771689497716,38,21,392,46
2026,target_90pct_tuning_specificity,joint_4ch,beat_detection_check,one_or_more_failed,3,1,2,0.0,1.0,0,1,2,0
2026,target_90pct_tuning_specificity,joint_4ch,mean_baseline_drift_rms_ratio,high,167,13,154,0.46153846153846156,0.9155844155844156,6,7,141,13
2026,target_90pct_tuning_specificity,joint_4ch,mean_baseline_drift_rms_ratio,low,167,28,139,0.5714285714285714,0.8705035971223022,16,12,121,18
2026,target_90pct_tuning_specificity,joint_4ch,mean_baseline_drift_rms_ratio,middle,166,19,147,0.8421052631578947,0.8979591836734694,16,3,132,15
2026,target_90pct_tuning_specificity,joint_4ch,mean_high_frequency_rms_ratio,high,168,18,150,0.6666666666666666,0.9266666666666666,12,6,139,11
2026,target_90pct_tuning_specificity,joint_4ch,mean_high_frequency_rms_ratio,low,168,35,133,0.6,0.8195488721804511,21,14,109,24
2026,target_90pct_tuning_specificity,joint_4ch,mean_high_frequency_rms_ratio,middle,164,7,157,0.7142857142857143,0.9299363057324841,5,2,146,11
2026,target_90pct_tuning_specificity,shared_site,beat_detection_check,all_sites_passed,497,59,438,0.711864406779661,0.8949771689497716,42,17,392,46
2026,target_90pct_tuning_specificity,shared_site,beat_detection_check,one_or_more_failed,3,1,2,0.0,0.5,0,1,1,1
2026,target_90pct_tuning_specificity,shared_site,mean_baseline_drift_rms_ratio,high,167,13,154,0.5384615384615384,0.8961038961038961,7,6,138,16
2026,target_90pct_tuning_specificity,shared_site,mean_baseline_drift_rms_ratio,low,167,28,139,0.7142857142857143,0.8776978417266187,20,8,122,17
2026,target_90pct_tuning_specificity,shared_site,mean_baseline_drift_rms_ratio,middle,166,19,147,0.7894736842105263,0.9047619047619048,15,4,133,14
2026,target_90pct_tuning_specificity,shared_site,mean_high_frequency_rms_ratio,high,168,18,150,0.6666666666666666,0.9,12,6,135,15
2026,target_90pct_tuning_specificity,shared_site,mean_high_frequency_rms_ratio,low,168,35,133,0.7714285714285715,0.8120300751879699,27,8,108,25
2026,target_90pct_tuning_specificity,shared_site,mean_high_frequency_rms_ratio,middle,164,7,157,0.42857142857142855,0.9554140127388535,3,4,150,7
