Seed,Cutoff_Rule,Architecture,Fold,Quality_Measure,Quality_Group,patients,hfref_patients,non_hfref_patients,recall,specificity,tp,fn,tn,fp
42,maximum_tuning_f1,shared_site,1,mean_baseline_drift_rms_ratio,middle,39,4,35,0.75,0.8285714285714286,3,1,29,6
42,maximum_tuning_f1,shared_site,1,mean_high_frequency_rms_ratio,high,37,6,31,0.6666666666666666,0.8387096774193549,4,2,26,5
42,maximum_tuning_f1,shared_site,1,mean_high_frequency_rms_ratio,low,27,5,22,0.8,0.7272727272727273,4,1,16,6
42,maximum_tuning_f1,shared_site,1,mean_high_frequency_rms_ratio,middle,36,1,35,0.0,0.8285714285714286,0,1,29,6
42,maximum_tuning_f1,shared_site,2,beat_detection_check,all_sites_passed,98,11,87,0.45454545454545453,0.9540229885057471,5,6,83,4
42,maximum_tuning_f1,shared_site,2,beat_detection_check,one_or_more_failed,2,1,1,0.0,1.0,0,1,1,0
42,maximum_tuning_f1,shared_site,2,mean_baseline_drift_rms_ratio,high,30,5,25,0.4,1.0,2,3,25,0
42,maximum_tuning_f1,shared_site,2,mean_baseline_drift_rms_ratio,low,35,4,31,0.75,0.9354838709677419,3,1,29,2
42,maximum_tuning_f1,shared_site,2,mean_baseline_drift_rms_ratio,middle,35,3,32,0.0,0.9375,0,3,30,2
42,maximum_tuning_f1,shared_site,2,mean_high_frequency_rms_ratio,high,40,3,37,0.6666666666666666,0.972972972972973,2,1,36,1
42,maximum_tuning_f1,shared_site,2,mean_high_frequency_rms_ratio,low,30,8,22,0.25,0.8636363636363636,2,6,19,3
42,maximum_tuning_f1,shared_site,2,mean_high_frequency_rms_ratio,middle,30,1,29,1.0,1.0,1,0,29,0
42,maximum_tuning_f1,shared_site,3,beat_detection_check,all_sites_passed,100,12,88,0.9166666666666666,0.8181818181818182,11,1,72,16
42,maximum_tuning_f1,shared_site,3,mean_baseline_drift_rms_ratio,high,32,3,29,0.6666666666666666,0.8620689655172413,2,1,25,4
42,maximum_tuning_f1,shared_site,3,mean_baseline_drift_rms_ratio,low,32,3,29,1.0,0.7931034482758621,3,0,23,6
42,maximum_tuning_f1,shared_site,3,mean_baseline_drift_rms_ratio,middle,36,6,30,1.0,0.8,6,0,24,6
42,maximum_tuning_f1,shared_site,3,mean_high_frequency_rms_ratio,high,26,3,23,0.6666666666666666,0.8695652173913043,2,1,20,3
42,maximum_tuning_f1,shared_site,3,mean_high_frequency_rms_ratio,low,44,9,35,1.0,0.6571428571428571,9,0,23,12
42,maximum_tuning_f1,shared_site,3,mean_high_frequency_rms_ratio,middle,30,0,30,,0.9666666666666667,0,0,29,1
42,maximum_tuning_f1,shared_site,4,beat_detection_check,all_sites_passed,99,12,87,0.75,0.896551724137931,9,3,78,9
42,maximum_tuning_f1,shared_site,4,beat_detection_check,one_or_more_failed,1,0,1,,0.0,0,0,0,1
42,maximum_tuning_f1,shared_site,4,mean_baseline_drift_rms_ratio,high,39,2,37,0.5,0.8918918918918919,1,1,33,4
42,maximum_tuning_f1,shared_site,4,mean_baseline_drift_rms_ratio,low,33,7,26,0.7142857142857143,0.8846153846153846,5,2,23,3
42,maximum_tuning_f1,shared_site,4,mean_baseline_drift_rms_ratio,middle,28,3,25,1.0,0.88,3,0,22,3
42,maximum_tuning_f1,shared_site,4,mean_high_frequency_rms_ratio,high,32,4,28,0.5,0.8928571428571429,2,2,25,3
42,maximum_tuning_f1,shared_site,4,mean_high_frequency_rms_ratio,low,30,7,23,1.0,0.8260869565217391,7,0,19,4
42,maximum_tuning_f1,shared_site,4,mean_high_frequency_rms_ratio,middle,38,1,37,0.0,0.918918918918919,0,1,34,3
42,target_90pct_tuning_specificity,joint_4ch,0,beat_detection_check,all_sites_passed,100,12,88,0.6666666666666666,0.8636363636363636,8,4,76,12
42,target_90pct_tuning_specificity,joint_4ch,0,mean_baseline_drift_rms_ratio,high,37,2,35,0.5,0.9142857142857143,1,1,32,3
42,target_90pct_tuning_specificity,joint_4ch,0,mean_baseline_drift_rms_ratio,low,35,7,28,0.5714285714285714,0.7857142857142857,4,3,22,6
42,target_90pct_tuning_specificity,joint_4ch,0,mean_baseline_drift_rms_ratio,middle,28,3,25,1.0,0.88,3,0,22,3
42,target_90pct_tuning_specificity,joint_4ch,0,mean_high_frequency_rms_ratio,high,33,2,31,1.0,0.8709677419354839,2,0,27,4
42,target_90pct_tuning_specificity,joint_4ch,0,mean_high_frequency_rms_ratio,low,37,6,31,0.8333333333333334,0.8064516129032258,5,1,25,6
42,target_90pct_tuning_specificity,joint_4ch,0,mean_high_frequency_rms_ratio,middle,30,4,26,0.25,0.9230769230769231,1,3,24,2
42,target_90pct_tuning_specificity,joint_4ch,1,beat_detection_check,all_sites_passed,100,12,88,0.75,0.875,9,3,77,11
42,target_90pct_tuning_specificity,joint_4ch,1,mean_baseline_drift_rms_ratio,high,29,1,28,1.0,0.7857142857142857,1,0,22,6
42,target_90pct_tuning_specificity,joint_4ch,1,mean_baseline_drift_rms_ratio,low,32,7,25,0.7142857142857143,0.92,5,2,23,2
42,target_90pct_tuning_specificity,joint_4ch,1,mean_baseline_drift_rms_ratio,middle,39,4,35,0.75,0.9142857142857143,3,1,32,3
42,target_90pct_tuning_specificity,joint_4ch,1,mean_high_frequency_rms_ratio,high,37,6,31,0.6666666666666666,0.9032258064516129,4,2,28,3
42,target_90pct_tuning_specificity,joint_4ch,1,mean_high_frequency_rms_ratio,low,27,5,22,0.8,0.8181818181818182,4,1,18,4
42,target_90pct_tuning_specificity,joint_4ch,1,mean_high_frequency_rms_ratio,middle,36,1,35,1.0,0.8857142857142857,1,0,31,4
42,target_90pct_tuning_specificity,joint_4ch,2,beat_detection_check,all_sites_passed,98,11,87,0.36363636363636365,0.9655172413793104,4,7,84,3
42,target_90pct_tuning_specificity,joint_4ch,2,beat_detection_check,one_or_more_failed,2,1,1,0.0,1.0,0,1,1,0
42,target_90pct_tuning_specificity,joint_4ch,2,mean_baseline_drift_rms_ratio,high,30,5,25,0.4,0.96,2,3,24,1
