source,seed,scoring_fold,tuning_fold,architecture,cutoff_rule,cutoff,tuning_specificity,tuning_recall,scoring_patients,scoring_hfref_patients,scoring_threshold,scoring_auprc,scoring_auroc,scoring_recall,scoring_specificity,scoring_balanced_accuracy,scoring_precision,scoring_f1,scoring_brier,scoring_log_loss,scoring_calibration_error,scoring_tn,scoring_fp,scoring_fn,scoring_tp
pre_correction,42,0,1,joint_4ch,maximum_tuning_f1,0.43621992,0.9431818181818182,0.75,100,12,0.43621992,0.368771645021645,0.853219696969697,0.6666666666666666,0.8863636363636364,0.7765151515151515,0.4444444444444444,0.5333333333333333,0.10004050229137271,0.3244806342824467,0.10165092853999999,78,10,4,8
pre_correction,42,0,1,joint_4ch,target_90pct_tuning_specificity,0.38619223999999996,0.9090909090909091,0.75,100,12,0.38619223999999996,0.368771645021645,0.853219696969697,0.6666666666666666,0.8636363636363636,0.7651515151515151,0.4,0.5,0.10004050229137271,0.3244806342824467,0.10165092853999999,76,12,4,8
pre_correction,42,0,1,shared_site,maximum_tuning_f1,0.48956693500000004,0.8636363636363636,0.9166666666666666,100,12,0.48956693500000004,0.5412332826367914,0.8854166666666666,0.75,0.8295454545454546,0.7897727272727273,0.375,0.5,0.14416609497305294,0.4588893883161116,0.25023557896,73,15,3,9
pre_correction,42,0,1,shared_site,target_90pct_tuning_specificity,0.5924574499999999,0.9090909090909091,0.5833333333333334,100,12,0.5924574499999999,0.5412332826367914,0.8854166666666666,0.75,0.875,0.8125,0.45,0.5625,0.14416609497305294,0.4588893883161116,0.25023557896,77,11,3,9
pre_correction,42,1,2,joint_4ch,maximum_tuning_f1,0.263925725,0.8522727272727273,0.75,100,12,0.263925725,0.6264411733161733,0.8446969696969696,0.75,0.8295454545454546,0.7897727272727273,0.375,0.5,0.09628914377158032,0.31270396084531005,0.09238626725499999,73,15,3,9
pre_correction,42,1,2,joint_4ch,target_90pct_tuning_specificity,0.483772235,0.9090909090909091,0.5833333333333334,100,12,0.483772235,0.6264411733161733,0.8446969696969696,0.75,0.875,0.8125,0.45,0.5625,0.09628914377158032,0.31270396084531005,0.09238626725499999,77,11,3,9
pre_correction,42,1,2,shared_site,maximum_tuning_f1,0.311684715,0.8636363636363636,0.9166666666666666,100,12,0.311684715,0.6647272345969873,0.8607954545454545,0.6666666666666666,0.8068181818181818,0.7367424242424242,0.32,0.43243243243243246,0.08844525329467633,0.3120181055862616,0.13138214856,71,17,4,8
pre_correction,42,1,2,shared_site,target_90pct_tuning_specificity,0.42803858,0.9090909090909091,0.6666666666666666,100,12,0.42803858,0.6647272345969873,0.8607954545454545,0.5833333333333334,0.9204545454545454,0.7518939393939394,0.5,0.5384615384615384,0.08844525329467633,0.3120181055862616,0.13138214856,81,7,5,7
pre_correction,42,2,3,joint_4ch,maximum_tuning_f1,0.5683015849999999,0.9204545454545454,0.75,100,12,0.5683015849999999,0.4868579367059655,0.824810606060606,0.3333333333333333,0.9659090909090909,0.6496212121212122,0.5714285714285714,0.42105263157894735,0.11914409260428407,0.407341989421268,0.20357773339999996,85,3,8,4
pre_correction,42,2,3,joint_4ch,target_90pct_tuning_specificity,0.552118005,0.9090909090909091,0.75,100,12,0.552118005,0.4868579367059655,0.824810606060606,0.3333333333333333,0.9659090909090909,0.6496212121212122,0.5714285714285714,0.42105263157894735,0.11914409260428407,0.407341989421268,0.20357773339999996,85,3,8,4
pre_correction,42,2,3,shared_site,maximum_tuning_f1,0.5846099849999999,0.9090909090909091,0.8333333333333334,100,12,0.5846099849999999,0.602688652598073,0.9081439393939393,0.4166666666666667,0.9545454545454546,0.6856060606060607,0.5555555555555556,0.47619047619047616,0.10967886379466693,0.37486335334682364,0.18357651591000004,84,4,7,5
pre_correction,42,2,3,shared_site,target_90pct_tuning_specificity,0.5846099849999999,0.9090909090909091,0.8333333333333334,100,12,0.5846099849999999,0.602688652598073,0.9081439393939393,0.4166666666666667,0.9545454545454546,0.6856060606060607,0.5555555555555556,0.47619047619047616,0.10967886379466693,0.37486335334682364,0.18357651591000004,84,4,7,5
pre_correction,42,3,4,joint_4ch,maximum_tuning_f1,0.508822145,0.8863636363636364,0.9166666666666666,100,12,0.508822145,0.5804349415204679,0.9166666666666666,0.9166666666666666,0.8068181818181818,0.8617424242424242,0.39285714285714285,0.55,0.18338607297436332,0.5547650675205843,0.32382098800000003,71,17,1,11
pre_correction,42,3,4,joint_4ch,target_90pct_tuning_specificity,0.533623525,0.9090909090909091,0.75,100,12,0.533623525,0.5804349415204679,0.9166666666666666,0.8333333333333334,0.8522727272727273,0.8428030303030303,0.43478260869565216,0.5714285714285714,0.18338607297436332,0.5547650675205843,0.32382098800000003,75,13,2,10
pre_correction,42,3,4,shared_site,maximum_tuning_f1,0.480747315,0.9204545454545454,1.0,100,12,0.480747315,0.6024655091704364,0.9109848484848485,0.9166666666666666,0.8181818181818182,0.8674242424242424,0.4074074074074074,0.5641025641025641,0.14190069553350435,0.44939419910107875,0.25568137536,72,16,1,11
pre_correction,42,3,4,shared_site,target_90pct_tuning_specificity,0.476953715,0.9090909090909091,1.0,100,12,0.476953715,0.6024655091704364,0.9109848484848485,0.9166666666666666,0.8181818181818182,0.8674242424242424,0.4074074074074074,0.5641025641025641,0.14190069553350435,0.44939419910107875,0.25568137536,72,16,1,11
pre_correction,42,4,0,joint_4ch,maximum_tuning_f1,0.587735025,0.9204545454545454,0.6666666666666666,100,12,0.587735025,0.5553769841269841,0.9242424242424243,0.6666666666666666,0.9090909090909091,0.7878787878787878,0.5,0.5714285714285714,0.14889439436636942,0.48002966141794295,0.2758829053,80,8,4,8
pre_correction,42,4,0,joint_4ch,target_90pct_tuning_specificity,0.57431358,0.9090909090909091,0.6666666666666666,100,12,0.57431358,0.5553769841269841,0.9242424242424243,0.6666666666666666,0.875,0.7708333333333333,0.42105263157894735,0.5161290322580645,0.14889439436636942,0.48002966141794295,0.2758829053,77,11,4,8
pre_correction,42,4,0,shared_site,maximum_tuning_f1,0.575856735,0.875,0.9166666666666666,100,12,0.575856735,0.6095672845672846,0.9223484848484849,0.75,0.8863636363636364,0.8181818181818181,0.47368421052631576,0.5806451612903226,0.1589424670523719,0.4968418079242264,0.30747054143999997,78,10,3,9
pre_correction,42,4,0,shared_site,target_90pct_tuning_specificity,0.6275552499999999,0.9090909090909091,0.6666666666666666,100,12,0.6275552499999999,0.6095672845672846,0.9223484848484849,0.6666666666666666,0.9318181818181818,0.7992424242424242,0.5714285714285714,0.6153846153846154,0.1589424670523719,0.4968418079242264,0.30747054143999997,82,6,4,8
pre_correction,2026,0,1,joint_4ch,maximum_tuning_f1,0.2661355,0.9090909090909091,0.75,100,12,0.2661355,0.4375888502049493,0.887310606060606,0.8333333333333334,0.8636363636363636,0.8484848484848485,0.45454545454545453,0.5882352941176471,0.08663709637663353,0.2990624610285307,0.12070867530999999,76,12,2,10
pre_correction,2026,0,1,joint_4ch,target_90pct_tuning_specificity,0.2661355,0.9090909090909091,0.75,100,12,0.2661355,0.4375888502049493,0.887310606060606,0.8333333333333334,0.8636363636363636,0.8484848484848485,0.45454545454545453,0.5882352941176471,0.08663709637663353,0.2990624610285307,0.12070867530999999,76,12,2,10
pre_correction,2026,0,1,shared_site,maximum_tuning_f1,0.418953165,0.8863636363636364,0.8333333333333334,100,12,0.418953165,0.4463704130373896,0.8835227272727273,0.75,0.8522727272727273,0.8011363636363636,0.4090909090909091,0.5294117647058824,0.11080251179392171,0.3737664622848014,0.17737151195999998,75,13,3,9
pre_correction,2026,0,1,shared_site,target_90pct_tuning_specificity,0.446950705,0.9090909090909091,0.75,100,12,0.446950705,0.4463704130373896,0.8835227272727273,0.75,0.8522727272727273,0.8011363636363636,0.4090909090909091,0.5294117647058824,0.11080251179392171,0.3737664622848014,0.17737151195999998,75,13,3,9
pre_correction,2026,1,2,joint_4ch,maximum_tuning_f1,0.40319755,0.9431818181818182,0.6666666666666666,100,12,0.40319755,0.6499831341250748,0.8806818181818181,0.6666666666666666,0.9318181818181818,0.7992424242424242,0.5714285714285714,0.6153846153846154,0.08314231661048882,0.3063461164994312,0.13278341424,82,6,4,8
pre_correction,2026,1,2,joint_4ch,target_90pct_tuning_specificity,0.34331818999999997,0.9090909090909091,0.6666666666666666,100,12,0.34331818999999997,0.6499831341250748,0.8806818181818181,0.8333333333333334,0.875,0.8541666666666667,0.47619047619047616,0.6060606060606061,0.08314231661048882,0.3063461164994312,0.13278341424,77,11,2,10
pre_correction,2026,1,2,shared_site,maximum_tuning_f1,0.295345755,0.8295454545454546,0.9166666666666666,100,12,0.295345755,0.7377110476748159,0.9024621212121212,0.9166666666666666,0.7954545454545454,0.856060606060606,0.3793103448275862,0.5365853658536586,0.08360277214274751,0.2961128094114747,0.12623106919,70,18,1,11
pre_correction,2026,1,2,shared_site,target_90pct_tuning_specificity,0.53611637,0.9090909090909091,0.5,100,12,0.53611637,0.7377110476748159,0.9024621212121212,0.5833333333333334,0.9545454545454546,0.768939393939394,0.6363636363636364,0.6086956521739131,0.08360277214274751,0.2961128094114747,0.12623106919,84,4,5,7
pre_correction,2026,2,3,joint_4ch,maximum_tuning_f1,0.26741360000000003,0.8636363636363636,0.9166666666666666,100,12,0.26741360000000003,0.508446128961003,0.8399621212121212,0.5833333333333334,0.8977272727272727,0.740530303030303,0.4375,0.5,0.08192638338733149,0.2755198598477302,0.026497485600000002,79,9,5,7
pre_correction,2026,2,3,joint_4ch,target_90pct_tuning_specificity,0.41922945,0.9090909090909091,0.6666666666666666,100,12,0.41922945,0.508446128961003,0.8399621212121212,0.4166666666666667,0.9431818181818182,0.6799242424242424,0.5,0.45454545454545453,0.08192638338733149,0.2755198598477302,0.026497485600000002,83,5,7,5
pre_correction,2026,2,3,shared_site,maximum_tuning_f1,0.5382042499999999,0.8977272727272727,0.9166666666666666,100,12,0.5382042499999999,0.5461463307407329,0.9119318181818181,0.5,0.9318181818181818,0.7159090909090908,0.5,0.5,0.098496216550983,0.3423219612000603,0.15684649995000002,82,6,6,6
pre_correction,2026,2,3,shared_site,target_90pct_tuning_specificity,0.5945711499999999,0.9090909090909091,0.6666666666666666,100,12,0.5945711499999999,0.5461463307407329,0.9119318181818181,0.4166666666666667,0.9545454545454546,0.6856060606060607,0.5555555555555556,0.47619047619047616,0.098496216550983,0.3423219612000603,0.15684649995000002,84,4,7,5
pre_correction,2026,3,4,joint_4ch,maximum_tuning_f1,0.593951,0.8977272727272727,0.9166666666666666,100,12,0.593951,0.5384859067726117,0.9138257575757576,0.8333333333333334,0.8636363636363636,0.8484848484848485,0.45454545454545453,0.5882352941176471,0.22200767081309242,0.6364616425997938,0.37601778119999996,76,12,2,10
