seed,cutoff_rule,architecture,scoring_recall_mean,scoring_recall_std,scoring_specificity_mean,scoring_specificity_std,scoring_precision_mean,scoring_precision_std,scoring_f1_mean,scoring_f1_std,scoring_balanced_accuracy_mean,scoring_balanced_accuracy_std,scoring_auprc_mean,scoring_auprc_std,scoring_auroc_mean,scoring_auroc_std,scoring_brier_mean,scoring_brier_std,tuning_specificity_mean,tuning_specificity_std,tuning_recall_mean,tuning_recall_std
42,maximum_tuning_f1,joint_4ch,0.6666666666666666,0.21245914639969934,0.8795454545454545,0.0635754578668153,0.45674603174603173,0.08052720589585108,0.5151629072681704,0.05872876238252299,0.7731060606060606,0.07683187150148411,0.5235765361382472,0.10017246402396605,0.8727272727272727,0.04485178792351233,0.12955084120159396,0.036598860173357166,0.9045454545454545,0.03557380873295118,0.7666666666666666,0.09128709291752768
42,maximum_tuning_f1,shared_site,0.7,0.18257418583505536,0.8590909090909091,0.06151076637601983,0.4263294346978558,0.09115997994191313,0.5106741268031592,0.061594166647601443,0.7795454545454545,0.0706695765488005,0.6041363927139145,0.04376766433982997,0.8975378787878787,0.024524504129558564,0.1286266749296545,0.028767545262497928,0.8863636363636364,0.026650089544451284,0.9166666666666666,0.05892556509887895
42,target_90pct_tuning_specificity,joint_4ch,0.65,0.190029237516523,0.8863636363636364,0.04545454545454545,0.4554527623406342,0.06739019589317177,0.5142220470531166,0.06018677256385391,0.7681818181818182,0.07349363427641324,0.5235765361382472,0.10017246402396605,0.8727272727272727,0.04485178792351233,0.12955084120159396,0.036598860173357166,0.909090909090909,0.0,0.7,0.07453559924999298
42,target_90pct_tuning_specificity,shared_site,0.6666666666666667,0.18633899812498245,0.9,0.05414149658896178,0.4968783068783068,0.06930570671434759,0.5513278388278389,0.05050357997993969,0.7833333333333334,0.06839979885884322,0.6041363927139145,0.04376766433982997,0.8975378787878787,0.024524504129558564,0.1286266749296545,0.028767545262497928,0.909090909090909,0.0,0.75,0.1666666666666667
2026,maximum_tuning_f1,joint_4ch,0.7833333333333334,0.16244657241348273,0.884090909090909,0.030491836056815276,0.4836038961038961,0.05430552712760009,0.5917043740573152,0.06044390042648804,0.8337121212121212,0.07059085868340349,0.5392689103234912,0.07755096551324034,0.8893939393939394,0.033173687948198985,0.12444164946612428,0.06131893792949851,0.890909090909091,0.03985381344715947,0.8333333333333333,0.11785113019775798
2026,maximum_tuning_f1,shared_site,0.7666666666666666,0.1707825127659933,0.85,0.07848316659014548,0.4368469174503657,0.09296897906792174,0.5395486324611145,0.061062855537282676,0.8083333333333332,0.05527253725545489,0.5689921456734274,0.10835426497530076,0.9054924242424243,0.015522794748215355,0.11828087214095222,0.05083925587309421,0.8818181818181818,0.03370999312316206,0.8833333333333332,0.09501461875826149
2026,target_90pct_tuning_specificity,joint_4ch,0.6333333333333334,0.28012893856619353,0.8954545454545455,0.038869616764743306,0.4437229437229437,0.06450071179978935,0.5045581869111281,0.13665685504561478,0.7643939393939394,0.1218952694994948,0.5392689103234912,0.07755096551324034,0.8893939393939394,0.033173687948198985,0.12444164946612428,0.06131893792949851,0.909090909090909,0.0,0.7,0.09501461875826149
2026,target_90pct_tuning_specificity,shared_site,0.7,0.20069324297987154,0.8931818181818182,0.060983672113630656,0.5016835016835017,0.09811363462682428,0.5606800914345671,0.060354083065375465,0.7965909090909091,0.07436697190662094,0.5689921456734274,0.10835426497530076,0.9054924242424243,0.015522794748215355,0.11828087214095222,0.05083925587309421,0.909090909090909,0.0,0.6666666666666666,0.10206207261596577
